domain,series_id,t,y,product,lat,lon
subsidence,4Kdbj5ZSD2,2023-02-13,7.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-02-25,2.4000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-03-09,3.20000005,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-03-21,4.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-04-02,1.79999995,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-04-14,10.19999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-04-26,4.80000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-05-08,2.9000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-05-20,2.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-06-01,1.29999995,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-06-13,9.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-06-25,4.0999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-07-07,4.4000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-07-19,4.80000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-07-31,19.10000038,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-08-12,4.9000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-08-24,3.0999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-09-05,7.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-09-17,6.19999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-09-29,7.30000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-10-11,7.4000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-10-23,1.0,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-11-04,1.89999998,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-11-16,8.0,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-11-28,16.10000038,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-12-10,9.0,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-12-22,10.39999962,A02-075,38.6035881,-28.75266647
